Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2017-01-01T00:00+01:00,6432.99,25918.56,22823.39,20.96
2017-01-01T01:00+01:00,6432.17,26437.14,22822.78,20.9
2017-01-01T02:00+01:00,6433.07,26471.27,22539.54,18.13
2017-01-01T03:00+01:00,6469.29,26774.1,22239,16.03
2017-01-01T04:00+01:00,6487.22,26311.29,22364.37,16.43
2017-01-01T05:00+01:00,6490.69,26187.13,22666.14,13.75
2017-01-01T06:00+01:00,6488.99,25599.83,23013.19,11.1
2017-01-01T07:00+01:00,6489.75,25412.73,22976.43,15.47
2017-01-01T08:00+01:00,6490.37,25296.33,23308.32,16.88
2017-01-01T09:00+01:00,6488.78,25289.28,24958.65,21.81
2017-01-01T10:00+01:00,6481.03,25626.15,26209.21,26.24
2017-01-01T11:00+01:00,6468.53,26367.23,27111.44,26.42
2017-01-01T12:00+01:00,6476.93,26539.87,27202.06,27.66
2017-01-01T13:00+01:00,6481.76,26662.53,25357.45,28.7
2017-01-01T14:00+01:00,6485.42,27093.34,21758.01,29.66
2017-01-01T15:00+01:00,6484.93,28206.41,18068.33,35.33
2017-01-01T16:00+01:00,6478.64,29193.32,16657.18,44.12
2017-01-01T17:00+01:00,6473.66,29703.66,17090.45,51.59
2017-01-01T18:00+01:00,6474.17,30092.51,17404.33,53.95
2017-01-01T19:00+01:00,6472.67,30386.98,17775.44,50.97
2017-01-01T20:00+01:00,6473.18,30935.44,18637.08,44.93
2017-01-01T21:00+01:00,6465.98,31008.13,19092.47,38.83
2017-01-01T22:00+01:00,6456.83,30838.53,19841.55,42.17
2017-01-01T23:00+01:00,6455.02,29846.96,19740.84,33.06
2017-01-02T00:00+01:00,6441.42,27613.89,19943.85,30.54
2017-01-02T01:00+01:00,6411.21,27472.51,20355.21,28.91
2017-01-02T02:00+01:00,6413.91,27822.4,20012.58,28.11
2017-01-02T03:00+01:00,6411.62,28531.8,19852.58,27.89
2017-01-02T04:00+01:00,6414.35,29230.11,19250.95,27.73
2017-01-02T05:00+01:00,6410.28,31893.53,19106.78,31.18
2017-01-02T06:00+01:00,6414.09,35192.87,19308.17,37.99
2017-01-02T07:00+01:00,6412.54,38926.07,19224.21,50.98
2017-01-02T08:00+01:00,6408.97,41980.27,18940.61,53.88
2017-01-02T09:00+01:00,6412.41,43586.84,18758.52,53.94
2017-01-02T10:00+01:00,6412.37,43813.24,19247.45,53.54
2017-01-02T11:00+01:00,6414.9,44316.86,19518.65,54.91
2017-01-02T12:00+01:00,6412.06,44834.13,20277.35,54.08
2017-01-02T13:00+01:00,6406.74,45189.67,19977.84,55.67
2017-01-02T14:00+01:00,6416.72,45540.85,19445.77,55.98
2017-01-02T15:00+01:00,6414.25,45976.34,18488.53,56
2017-01-02T16:00+01:00,6418.27,46308.97,18437.09,57.77
2017-01-02T17:00+01:00,6407.84,46298.06,19393.91,67.66
2017-01-02T18:00+01:00,6400.38,45778.46,20787.47,55.1
2017-01-02T19:00+01:00,6406.79,45542.19,21278.82,53.92
2017-01-02T20:00+01:00,6403.38,43714.97,21471.32,49.07
2017-01-02T21:00+01:00,6410.81,40846.77,21713.75,40.25
2017-01-02T22:00+01:00,6411.99,37487.33,22149.59,45.92
2017-01-02T23:00+01:00,6410.11,33563.04,23078.45,38.88
2017-01-03T00:00+01:00,6409.02,30517.87,23878.89,36.02
2017-01-03T01:00+01:00,6411.87,29388.13,24063.31,34.98
2017-01-03T02:00+01:00,6352.12,28534.27,24517.5,33.64
2017-01-03T03:00+01:00,6148.95,28239.66,25413.12,33.89
2017-01-03T04:00+01:00,6134.65,28696.56,26309.79,33.5
2017-01-03T05:00+01:00,6097.46,29254.48,27176.45,33.91
2017-01-03T06:00+01:00,6148.72,31385.92,28035.86,48.13
2017-01-03T07:00+01:00,6141.55,34106.93,29287.78,54.61
2017-01-03T08:00+01:00,6141.42,35921.59,30066.9,57.93
2017-01-03T09:00+01:00,5968.26,36134.73,31800.55,57.18
2017-01-03T10:00+01:00,5901.84,36065.82,34065.79,52.27
2017-01-03T11:00+01:00,5896.87,34922.17,36453.57,49.94
2017-01-03T12:00+01:00,5887.85,33764.27,38092.8,46.3
2017-01-03T13:00+01:00,5892.04,32760.53,38975.18,41.51
2017-01-03T14:00+01:00,5893.56,32150.53,38810.88,37.08
2017-01-03T15:00+01:00,5892.53,32019.02,39204.89,37.03
2017-01-03T16:00+01:00,5892.14,31626.72,39906.6,39.08
2017-01-03T17:00+01:00,5892.65,32195.82,40713.95,42.14
2017-01-03T18:00+01:00,5888.36,32200.34,41503.44,36.67
2017-01-03T19:00+01:00,5885.35,31196.57,41965.14,36.03
2017-01-03T20:00+01:00,5876.16,29309.05,42330.5,33.55
2017-01-03T21:00+01:00,5887.48,26696.5,42340.2,24.56
2017-01-03T22:00+01:00,5872.34,25214.91,41596.15,17.77
2017-01-03T23:00+01:00,5875.28,23025.84,41474.78,9.49
2017-01-04T00:00+01:00,5876.5,21033.56,39886.45,8.5
2017-01-04T01:00+01:00,5874.46,20743.76,38813.68,-0.05
2017-01-04T02:00+01:00,5872.2,21059.1,37963.2,-6.27
2017-01-04T03:00+01:00,5866.66,21701.46,37551.49,-5.09
2017-01-04T04:00+01:00,5865,22365.07,37629.93,0.06
2017-01-04T05:00+01:00,5862.95,23869.17,37774.96,10.55
2017-01-04T06:00+01:00,5860.13,26770.83,38621.22,10.98
2017-01-04T07:00+01:00,5854.14,28910.9,39549.84,31.63
2017-01-04T08:00+01:00,5859.08,30039.32,40608.31,34.94
2017-01-04T09:00+01:00,5858.94,30456.8,40852.3,33.27
2017-01-04T10:00+01:00,5859.49,30863.38,41280.9,33.52
