Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2016-01-01T00:00+01:00,10684.42,26513.26,15755.65,23.86
2016-01-01T01:00+01:00,10680.56,25683.53,15532.82,22.39
2016-01-01T02:00+01:00,10583.28,25522.73,15472.11,20.59
2016-01-01T03:00+01:00,10661.45,25375.02,15377.22,16.81
2016-01-01T04:00+01:00,10587.7,25380.13,15306.06,17.41
2016-01-01T05:00+01:00,10447.13,25462.98,14324.28,17.02
2016-01-01T06:00+01:00,10400.74,25399.11,13558.75,15.86
2016-01-01T07:00+01:00,10275.29,25741.97,12532.25,18.16
2016-01-01T08:00+01:00,10307.04,26067.83,11722.8,17.73
2016-01-01T09:00+01:00,10296.81,25930.02,11693.39,19.77
2016-01-01T10:00+01:00,10211.76,26608.2,12228.58,23.75
2016-01-01T11:00+01:00,10173.22,27718.94,12536.37,26.03
2016-01-01T12:00+01:00,10404.89,28126.05,12309.92,27.06
2016-01-01T13:00+01:00,10516.79,28356.24,11459.76,26.59
2016-01-01T14:00+01:00,10661.68,28521.73,9895.01,25
2016-01-01T15:00+01:00,10657.53,28529.46,8211.17,24.43
2016-01-01T16:00+01:00,10665.19,28977.21,7650.7,28.87
2016-01-01T17:00+01:00,10556.26,29886.92,8246.07,37.44
2016-01-01T18:00+01:00,10641.93,30054.32,9029.38,37.41
2016-01-01T19:00+01:00,10593.59,29844.29,10210.29,35.34
2016-01-01T20:00+01:00,10542,29093.22,11224.08,33.07
2016-01-01T21:00+01:00,10633.38,28008.89,12240,29.52
2016-01-01T22:00+01:00,10638.51,27316.91,13077.69,30.1
2016-01-01T23:00+01:00,10619.62,25960.19,13917.02,24.57
2016-01-02T00:00+01:00,10598.11,24559.33,14236.05,22.2
2016-01-02T01:00+01:00,10630.55,22882.69,15657.78,16.57
2016-01-02T02:00+01:00,10456.45,21032.99,17515.85,15.35
2016-01-02T03:00+01:00,10251.9,18975,18891.16,12.77
2016-01-02T04:00+01:00,10305.62,18450.57,20269.4,11.27
2016-01-02T05:00+01:00,10237.51,18773.42,21704.23,11.91
2016-01-02T06:00+01:00,10040.06,18771.04,22875.7,12.62
2016-01-02T07:00+01:00,10351.35,19427.15,23640.7,13.83
2016-01-02T08:00+01:00,10474.98,20757.71,24462.37,16.12
