Date,Baseload in ct/kWh,MW Wind Onshore in ct/kwh,MW Wind Offshore in ct/kwh,Solar in ct/kwh,Capture factor MW Wind Onshore,Capture factor MW Wind Offshore,Capture factor Solar,Price_volatility,Price_volatility_adj
2015-02-01,3.672,3.163,3.351,3.678,0.8613834422657951,0.9125816993464052,1.0016339869281046,12.551301244351881,-0.058731524873095964
2015-03-01,3.134,2.527,2.802,3.059,0.8063178047223996,0.8940650925335035,0.9760689215060626,12.959159933674178,0.03249533107221314
2015-04-01,2.972,2.536,2.817,2.64,0.8532974427994616,0.9478465679676986,0.8882907133243607,13.224981393160581,0.02051224468614432
2015-05-01,2.536,2.268,2.4,2.511,0.8943217665615141,0.9463722397476341,0.9901419558359622,9.952991493247033,-0.24740979231968419
2015-06-01,3.006,2.792,2.859,3.045,0.9288090485695276,0.9510978043912176,1.0129740518962076,8.589136128348937,-0.13702969261286457
2015-07-01,3.5,2.926,3.097,3.536,0.8360000000000001,0.8848571428571429,1.0102857142857142,12.49697370905436,0.45497446102960004
2015-08-01,3.161,2.959,3.016,3.067,0.9360961720974376,0.9541284403669724,0.9702625751344511,9.097879893936124,-0.27199335569182725
2015-09-01,3.188,2.765,3.012,3.147,0.867314930991217,0.944792973651192,0.9871392722710162,11.470563004574023,0.26079516747845055
2015-10-01,3.936,3.656,3.825,3.751,0.9288617886178863,0.971798780487805,0.9529979674796748,11.343553434062818,-0.0110726535794764
2015-11-01,3.239,2.671,3.0,3.491,0.8246372337141092,0.9262117937635073,1.0778017906761346,13.915040072554328,0.22669145549839453
2015-12-01,2.778,2.358,2.585,2.91,0.8488120950323974,0.9305255579553635,1.0475161987041037,13.19257427187763,-0.05191977866464581
2016-01-01,2.904,2.407,2.637,3.224,0.8288567493112948,0.9080578512396694,1.1101928374655647,13.299374983824727,0.008095517201275992
2016-02-01,2.199,1.831,1.961,2.405,0.8326512050932242,0.8917689859026832,1.0936789449749886,9.468482573642648,-0.2880505598828047
2016-03-01,2.431,2.106,2.138,2.314,0.8663101604278074,0.8794734677087618,0.9518716577540107,8.124640947766428,-0.14192787655511585
2016-04-01,2.421,2.325,2.34,2.344,0.9603469640644363,0.966542750929368,0.9681949607600165,5.853273723493837,-0.2795652434212518
2016-05-01,2.254,1.8,2.009,1.887,0.7985803016858918,0.8913043478260869,0.8371783496007098,13.55419698980495,1.315660881431393
2016-06-01,2.769,2.672,2.687,2.821,0.964969302997472,0.9703864210906463,1.0187793427230047,6.902448490653577,-0.49075194230647623
2016-07-01,2.719,2.391,2.408,2.67,0.8793674144906216,0.8856197131298271,0.9819786686281722,7.240202333725392,0.04893246846088872
2016-08-01,2.718,2.533,2.537,2.616,0.9319352465047829,0.9334069168506255,0.9624724061810155,7.254710095436536,0.00200377849159894
2016-09-01,3.049,2.748,2.806,2.978,0.9012791079042309,0.9203017382748443,0.9767136766152837,7.9035116810859085,0.08943177289158544
2016-10-01,3.713,3.403,3.57,3.763,0.9165095610018853,0.9614866684621599,1.0134661998384056,9.658572775603533,0.2220609224526997
2016-11-01,3.822,3.266,3.455,4.046,0.8545264259549974,0.9039769754055469,1.0586080586080586,13.870327282632145,0.43606385797154523
2016-12-01,3.748,2.403,3.111,4.352,0.6411419423692636,0.830042689434365,1.1611526147278548,21.057587686506626,0.5181752569655709
2017-01-01,5.237,4.066,4.484,5.697,0.776398701546687,0.8562153904907389,1.0878365476417797,25.818977691036903,0.22611279484692837
2017-02-01,3.97,3.293,3.769,4.156,0.829471032745592,0.9493702770780856,1.046851385390428,16.048410020287474,-0.37842581482772253
2017-03-01,3.17,2.872,3.044,3.077,0.905993690851735,0.9602523659305994,0.9706624605678233,9.696023295774937,-0.39582654708361864
2017-04-01,2.887,2.36,2.496,2.523,0.8174575684101143,0.8645652926913752,0.8739175614825079,13.491638960071867,0.39146107105073447
2017-05-01,3.046,2.621,2.792,2.984,0.860472751149048,0.9166119500984898,0.9796454366382141,13.90656186826371,0.03075407735263269
2017-06-01,3.0,2.549,2.604,2.943,0.8496666666666667,0.868,0.981,9.610622421342262,-0.30891456045115295
2017-07-01,3.301,2.892,2.977,3.23,0.8760981520751286,0.9018479248712511,0.9784913662526507,9.911042104895,0.03125912874129755
2017-08-01,3.085,2.721,2.708,3.021,0.8820097244732578,0.8777957860615884,0.979254457050243,9.722501759510383,-0.0190232614682867
2017-09-01,3.435,2.765,3.043,3.554,0.8049490538573508,0.8858806404657933,1.0346433770014556,10.442215100475808,0.07402552951573549
2017-10-01,2.825,1.872,2.587,2.912,0.6626548672566371,0.9157522123893805,1.030796460176991,23.315451615060258,1.232807061597292
