Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2015-01-01T00:00+01:00,11350.29,24900.36,16475.58,17.93
2015-01-01T01:00+01:00,11748.27,22374.04,16640.75,15.17
2015-01-01T02:00+01:00,11684.55,21523.88,16778.11,16.38
2015-01-01T03:00+01:00,11686.41,20917.13,16750.18,17.38
2015-01-01T04:00+01:00,11617,21147.67,16791.67,16.38
2015-01-01T05:00+01:00,11334.69,20188.5,17088.06,26.61
2015-01-01T06:00+01:00,10914.73,19343.5,17596.34,37.63
2015-01-01T07:00+01:00,10634.65,19218.04,18131.35,39.09
2015-01-01T08:00+01:00,10857.64,19653.8,18149.98,41.51
2015-01-01T09:00+01:00,10661.22,19881.2,18952.23,40.46
2015-01-01T10:00+01:00,10684.5,20041.81,20767.01,40.97
2015-01-01T11:00+01:00,10543.33,19897.14,22625.48,40.72
2015-01-01T12:00+01:00,10723.59,20303.29,24075,41.92
2015-01-01T13:00+01:00,11077.55,20100.19,23669.31,42
2015-01-01T14:00+01:00,11475.05,20125.62,22173.1,43.1
2015-01-01T15:00+01:00,11730.78,20913.22,20778.71,46.7
2015-01-01T16:00+01:00,11663.94,22777.56,21585.87,56.78
2015-01-01T17:00+01:00,11718.23,23530.59,23446.1,58.84
2015-01-01T18:00+01:00,11583.4,22533.07,24845.43,49.23
2015-01-01T19:00+01:00,11510.75,21422.59,25824.48,44.32
2015-01-01T20:00+01:00,10960.53,20410.28,26817.9,40
2015-01-01T21:00+01:00,10427.72,19227.34,27752.61,35.08
2015-01-01T22:00+01:00,10331.35,18499.77,28162.71,30.03
2015-01-01T23:00+01:00,9586.02,17467.27,28983.7,22.34
2015-01-02T00:00+01:00,8652.45,16742.86,29514.59,17.93
2015-01-02T01:00+01:00,7574.7,16559.69,30229.22,15.17
2015-01-02T02:00+01:00,7074.78,16242.7,30909.96,16.38
2015-01-02T03:00+01:00,6853.35,15894.01,31796.98,17.38
2015-01-02T04:00+01:00,6680.52,15805.96,32516.64,16.38
2015-01-02T05:00+01:00,7163.57,16508.22,32897.03,26.61
2015-01-02T06:00+01:00,7886.43,17258.17,33354.71,37.63
2015-01-02T07:00+01:00,8558.36,18319.02,33220.15,39.09
2015-01-02T08:00+01:00,9728.44,20424.44,33414.99,41.51
2015-01-02T09:00+01:00,10395.82,21752.73,33050.1,40.46
2015-01-02T10:00+01:00,10700.93,22863.57,33268.26,40.97
2015-01-02T11:00+01:00,10843.34,23476.31,33991.81,40.72
2015-01-02T12:00+01:00,10848.83,23724.08,34427.82,41.92
2015-01-02T13:00+01:00,10876.29,22639,34657.74,42
2015-01-02T14:00+01:00,10795.8,22215.99,33762.03,43.1
2015-01-02T15:00+01:00,10816.89,23342.78,32706.23,46.7
2015-01-02T16:00+01:00,11063.89,24263.99,32219.03,56.78
2015-01-02T17:00+01:00,11268.37,25047.72,31661.11,58.84
2015-01-02T18:00+01:00,11354.16,24656.95,32647.02,49.23
2015-01-02T19:00+01:00,11341.86,23784.47,32634.07,44.32
2015-01-02T20:00+01:00,11169.5,21204.51,32137.63,40
2015-01-02T21:00+01:00,10622.64,20204.05,32027.26,35.08
2015-01-02T22:00+01:00,10257.9,19880.48,31751.71,30.03
2015-01-02T23:00+01:00,8954.27,18555.52,31718.76,22.34
2015-01-03T00:00+01:00,8600.47,16645.04,31179.96,17.93
2015-01-03T01:00+01:00,8475.79,16274.06,30397.5,15.17
2015-01-03T02:00+01:00,8471.93,15911.73,29378.96,16.38
2015-01-03T03:00+01:00,9189.91,15339.84,28181.01,17.38
2015-01-03T04:00+01:00,9590.07,15928.98,27527.96,16.38
2015-01-03T05:00+01:00,9846.72,16604.19,27600.79,26.61
2015-01-03T06:00+01:00,10267.52,16408.86,28286.6,37.63
2015-01-03T07:00+01:00,10338.6,16888.49,28876.69,39.09
2015-01-03T08:00+01:00,10919.76,18013.81,30250.39,41.51
2015-01-03T09:00+01:00,11228.71,20090.22,31232.29,40.46
2015-01-03T10:00+01:00,11052.15,21974.27,31939.3,40.97
2015-01-03T11:00+01:00,11149.11,22224.04,32243.84,40.72
2015-01-03T12:00+01:00,11622.78,22783.17,31481.59,41.92
2015-01-03T13:00+01:00,11743.08,22930.81,29715.15,42
2015-01-03T14:00+01:00,11961.69,23022.69,27065.08,43.1
2015-01-03T15:00+01:00,11951.86,23750.48,24941.96,46.7
2015-01-03T16:00+01:00,11923.24,24553.68,23622.91,56.78
2015-01-03T17:00+01:00,11847.52,25618.71,22972.92,58.84
2015-01-03T18:00+01:00,11777.3,26167.81,22540.07,49.23
