,Date,Weighted_volatility_adj
1,2015-01-02,-0.030221824431925337
2,2015-01-03,0.011245272864992328
3,2015-01-04,0.00433984499943274
4,2015-01-05,-0.023432619729463755
5,2015-01-06,-0.5307068070548528
6,2015-01-07,0.963583604365609
7,2015-01-08,-0.32619069088686803
8,2015-01-09,0.11593926171248725
9,2015-01-10,-0.6068359303166239
10,2015-01-11,1.7381522042383382
11,2015-01-12,0.4090191285379823
12,2015-01-13,-0.2383710903749524
13,2015-01-14,-0.0558461784605212
14,2015-01-15,-0.3012588389259526
15,2015-01-16,1.0608443764135882
16,2015-01-17,-0.5892159507174974
17,2015-01-18,0.27131878249972297
18,2015-01-19,0.3783420560074533
19,2015-01-20,0.1421994725602227
20,2015-01-21,-0.13073393596872862
21,2015-01-22,0.07470801632398771
22,2015-01-23,-0.042101191823737616
23,2015-01-24,-0.523286619275998
24,2015-01-25,0.3488507008262678
25,2015-01-26,0.5566431635594624
26,2015-01-27,-0.04485035468264942
27,2015-01-28,-0.3110020721443215
28,2015-01-29,0.45511161258336674
29,2015-01-30,-0.003922940849980572
30,2015-01-31,-0.39376715431606657
31,2015-02-01,-0.30731401150847815
32,2015-02-02,1.6291755932747107
33,2015-02-03,0.1526006339610524
34,2015-02-04,0.04842059567854884
35,2015-02-05,-0.2259027486032198
36,2015-02-06,-0.11744800117105081
37,2015-02-07,-0.16940038635949328
38,2015-02-08,1.1205806455365956
39,2015-02-09,-0.3621748006852952
40,2015-02-10,0.47240945818874414
41,2015-02-11,-0.06339848531928816
42,2015-02-12,-0.06787905884637657
43,2015-02-13,-0.2725111622542553
44,2015-02-14,-0.47214413972368163
45,2015-02-15,-0.13176363597355922
46,2015-02-16,1.0361966961814248
47,2015-02-17,0.14158778627315094
48,2015-02-18,0.049397526778214074
49,2015-02-19,-0.21002346522539594
50,2015-02-20,-0.1256768761949224
51,2015-02-21,-0.0031224184380260755
52,2015-02-22,-0.03286483687204533
53,2015-02-23,0.633386060562803
54,2015-02-24,-0.14428704363448697
55,2015-02-25,0.11882151135501462
56,2015-02-26,-0.1792743098176378
57,2015-02-27,0.0899693401639794
58,2015-02-28,-0.26567661379212526
59,2015-03-01,0.336974222121569
60,2015-03-02,0.059055541886407825
61,2015-03-03,0.31929455794390327
62,2015-03-04,-0.3003005038790677
63,2015-03-05,0.4012575037604176
64,2015-03-06,-0.2113536395608887
65,2015-03-07,-0.3382230980012627
66,2015-03-08,0.5145246168587996
67,2015-03-09,0.13300781527421712
68,2015-03-10,-0.11394903753037688
69,2015-03-11,0.07542381986165014
70,2015-03-12,-0.07691107772950123
71,2015-03-13,-0.2034136979172232
72,2015-03-14,-0.3491415337260255
73,2015-03-15,0.09422648795782052
74,2015-03-16,0.766186296853375
75,2015-03-17,-0.05724871357148653
76,2015-03-18,-0.01577115238741611
77,2015-03-19,0.12711493488637138
78,2015-03-20,-0.15339190580664852
79,2015-03-21,-0.5544321611395695
80,2015-03-22,1.2333656759337162
81,2015-03-23,0.486603846213443
82,2015-03-24,0.1597597118541938
83,2015-03-25,-0.3543370383407235
84,2015-03-26,0.011975811528826874
85,2015-03-27,-0.3617083534211829
86,2015-03-28,-0.1139435702920315
87,2015-03-29,0.1226658664012028
88,2015-03-30,1.6782805247762882
89,2015-03-31,-0.534868715873551
90,2015-04-01,0.3689046403021341
91,2015-04-02,-0.12957837767112523
92,2015-04-03,-0.0408662501334589
93,2015-04-04,-0.6383377433919079
94,2015-04-05,1.3154194996394004
95,2015-04-06,-0.25965108810133186
96,2015-04-07,0.6901832093756994
97,2015-04-08,-0.02047684441056985
98,2015-04-09,0.3616396491205043
99,2015-04-10,-0.2821634283389215
100,2015-04-11,-0.42212078117630536
101,2015-04-12,4.991321470130099
102,2015-04-13,-0.3225742932982071
103,2015-04-14,-0.5911939833760925
104,2015-04-15,0.14158055422668725
105,2015-04-16,-0.03524253755191553
106,2015-04-17,-0.1352190203598851
107,2015-04-18,0.028540119916370843
108,2015-04-19,-0.02706870361377378
109,2015-04-20,0.03505297218727477
110,2015-04-21,0.055138638410629826
111,2015-04-22,0.05652876815601715
112,2015-04-23,-0.2321238100102231
113,2015-04-24,0.027182325803362106
114,2015-04-25,-0.5233402739677564
115,2015-04-26,0.6126030878131905
116,2015-04-27,0.2796066046017842
117,2015-04-28,0.2869983143129806
118,2015-04-29,-0.2841273538944734
119,2015-04-30,-0.030379793883488326
120,2015-05-01,-0.5559799037464652
121,2015-05-02,1.2186214842788416
122,2015-05-03,-0.4563578599425918
123,2015-05-04,2.264384343914874
124,2015-05-05,-0.4601652724399239
125,2015-05-06,0.295090907390259
126,2015-05-07,0.3599847271778722
127,2015-05-08,-0.5272454859574376
128,2015-05-09,-0.23761810072345946
129,2015-05-10,2.8585104078100922
130,2015-05-11,-0.4758309743976292
131,2015-05-12,-0.08686545454921302
132,2015-05-13,-0.05446650266982189
133,2015-05-14,-0.4760053831766795
134,2015-05-15,0.7548271186458455
135,2015-05-16,-0.40310294161742566
136,2015-05-17,1.5209012108625974
137,2015-05-18,-0.2174760625593165
138,2015-05-19,-0.07990128323020151
139,2015-05-20,0.38717902775420243
140,2015-05-21,-0.29053862316720336
141,2015-05-22,-0.2631665911560652
142,2015-05-23,-0.27694802369271265
143,2015-05-24,0.18065333840094566
144,2015-05-25,0.2229721263757527
145,2015-05-26,0.49474549012774616
146,2015-05-27,-0.270588007459277
147,2015-05-28,-0.0896493665565965
148,2015-05-29,-0.14499783567595703
149,2015-05-30,0.5545866052135253
150,2015-05-31,-0.5540571318344676
