Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2022-01-01T00:00+01:00,3298.34,9926.24,38220.06,50.05
2022-01-01T01:00+01:00,3341.33,9799.88,36887.18,41.33
2022-01-01T02:00+01:00,3337.89,9719.58,35476.13,43.22
2022-01-01T03:00+01:00,3335.85,9741.86,34216.02,45.46
2022-01-01T04:00+01:00,3335.78,9768.41,33001.12,37.67
2022-01-01T05:00+01:00,3340.85,10003.7,30962.08,39.7
2022-01-01T06:00+01:00,3336.73,10137.42,30636.42,40.59
2022-01-01T07:00+01:00,3322.93,10441.57,29858.55,43.26
2022-01-01T08:00+01:00,3337.05,10782.44,28328.17,49.66
2022-01-01T09:00+01:00,3324.16,10945.73,29464.46,70.05
2022-01-01T10:00+01:00,3332.74,11239.12,30546.96,76.79
2022-01-01T11:00+01:00,3336.57,11370.47,31374.01,84.1
2022-01-01T12:00+01:00,3341.2,11628.84,31828.17,94.74
2022-01-01T13:00+01:00,3337.57,11270.41,29841.07,96.8
2022-01-01T14:00+01:00,3300.86,12251.6,27086.37,97.17
2022-01-01T15:00+01:00,3337.72,14170.92,24405.15,101
2022-01-01T16:00+01:00,3339.4,15301.9,24276.52,126.6
2022-01-01T17:00+01:00,3343.12,15840.79,26268.17,149.97
2022-01-01T18:00+01:00,3344.81,16184.38,28305.98,146.33
2022-01-01T19:00+01:00,3344.09,15644.98,30250.62,140.28
2022-01-01T20:00+01:00,3346.12,14324.23,31330.15,121.88
2022-01-01T21:00+01:00,3346.27,13208.74,31881.83,102.61
2022-01-01T22:00+01:00,3350.89,12787.36,32329.48,97.46
2022-01-01T23:00+01:00,3348.15,11340.15,32684.1,85.16
2022-01-02T00:00+01:00,3311.81,10209.22,32688.49,57.08
2022-01-02T01:00+01:00,3176.88,10118.04,32486.27,52.59
2022-01-02T02:00+01:00,3262.7,9948.95,31719,48.97
2022-01-02T03:00+01:00,3316.55,9876.27,32052.67,34.94
2022-01-02T04:00+01:00,3333.93,9895.88,30983.99,29.56
2022-01-02T05:00+01:00,3329.73,9907.84,31315.11,33.97
2022-01-02T06:00+01:00,3324.25,9913.53,31764.73,34.52
2022-01-02T07:00+01:00,3355.29,9972.66,32788.36,41.8
2022-01-02T08:00+01:00,3338.28,10052.76,35436.67,48.95
2022-01-02T09:00+01:00,3352.21,9983.08,38031.99,60.01
2022-01-02T10:00+01:00,3340.36,10011.99,42216.45,70.09
2022-01-02T11:00+01:00,3364.19,9879.11,45865.05,66.26
